subjectid,condition,counterbalance,responsenumber,phase,trialnumber,F1,F2,response,correctresponse,accuracy,rt
1,full,2,1,training,1,6,0,1,0,0,4.078987
1,full,2,2,training,2,5,5,0,1,0,2.625803
1,full,2,3,training,3,0,0,0,1,0,2.409280
1,full,2,4,training,4,5,1,1,1,1,1.915214
1,full,2,5,training,5,1,5,1,0,0,1.004401
1,full,2,6,training,6,6,6,0,0,1,0.885060
1,full,2,7,training,7,1,1,0,0,1,4.716222
1,full,2,8,training,8,0,6,1,0,0,0.917832
1,full,2,9,training,9,0,0,0,0,1,1.756159
1,full,2,10,training,10,1,5,1,1,1,4.839143
1,full,2,11,training,11,1,1,0,0,1,1.217610
1,full,2,12,training,12,5,1,1,1,1,6.052691
1,full,2,13,training,13,6,0,1,0,0,2.265052
1,full,2,14,training,14,5,5,0,0,1,0.362633
1,full,2,15,training,15,6,6,0,0,1,0.235861
1,full,2,16,training,16,0,6,1,0,0,5.167797
1,full,2,17,training,17,6,6,0,0,1,1.194571
1,full,2,18,training,18,0,0,0,0,1,4.570825
1,full,2,19,training,19,5,1,1,1,1,1.786829
1,full,2,20,training,20,0,6,1,1,1,2.324428
1,full,2,21,training,21,1,5,1,1,1,0.000142
1,full,2,22,training,22,1,1,0,0,1,1.470753
1,full,2,23,training,23,5,5,0,0,1,5.777793
1,full,2,24,training,24,6,0,1,1,1,0.773821
1,full,2,25,training,25,5,5,0,0,1,4.548064
1,full,2,26,training,26,0,6,1,1,1,1.408468
1,full,2,27,training,27,6,6,0,0,1,1.147279
1,full,2,28,training,28,1,1,0,0,1,9.792291
1,full,2,29,training,29,0,0,0,0,1,1.395505
1,full,2,30,training,30,1,5,1,1,1,0.839038
1,full,2,31,training,31,5,1,1,1,1,1.591455
1,full,2,32,training,32,6,0,1,1,1,0.710187
1,full,2,33,training,33,1,1,0,0,1,0.055742
1,full,2,34,training,34,0,0,0,0,1,0.103321
1,full,2,35,training,35,0,6,1,1,1,0.577675
1,full,2,36,training,36,5,5,0,0,1,1.055612
1,full,2,37,training,37,6,0,1,1,1,0.950799
1,full,2,38,training,38,6,6,0,0,1,0.454325
1,full,2,39,training,39,5,1,1,1,1,0.177532
1,full,2,40,training,40,1,5,1,1,1,0.764385
1,full,2,41,training,41,5,5,0,0,1,0.169049
1,full,2,42,training,42,1,5,1,1,1,0.675912
1,full,2,43,training,43,0,6,1,1,1,0.659839
1,full,2,44,training,44,6,6,0,0,1,0.668194
1,full,2,45,training,45,6,0,1,1,1,0.363342
1,full,2,46,training,46,5,1,1,1,1,0.050627
1,full,2,47,training,47,0,0,0,0,1,0.690489
1,full,2,48,training,48,1,1,0,0,1,0.344497
1,full,2,49,training,49,0,0,0,0,1,0.288447
1,full,2,50,training,50,1,1,0,0,1,1.014332
1,full,2,51,training,51,5,1,1,1,1,0.009127
1,full,2,52,training,52,6,6,0,0,1,1.616781
1,full,2,53,training,53,6,0,1,1,1,2.321012
1,full,2,54,training,54,0,6,1,1,1,0.947066
1,full,2,55,training,55,5,5,0,0,1,0.193387
1,full,2,56,training,56,1,5,1,1,1,0.646190
1,full,2,57,training,57,1,5,1,1,1,0.035767
1,full,2,58,training,58,5,1,1,1,1,1.154940
1,full,2,59,training,59,1,1,0,0,1,1.978105
1,full,2,60,training,60,0,6,1,1,1,0.555664
1,full,2,61,training,61,6,6,0,0,1,0.448368
1,full,2,62,training,62,6,0,1,1,1,0.561133
1,full,2,63,training,63,5,5,0,0,1,13.022507
1,full,2,64,training,64,0,0,0,0,1,5.115290
1,full,2,65,training,65,1,5,1,1,1,2.866109
1,full,2,66,training,66,0,6,1,1,1,0.115699
1,full,2,67,training,67,5,5,0,0,1,2.060439
1,full,2,68,training,68,5,1,1,1,1,0.255609
1,full,2,69,training,69,6,0,1,1,1,0.021598
1,full,2,70,training,70,0,0,0,0,1,2.837062
1,full,2,71,training,71,1,1,0,0,1,0.468270
1,full,2,72,training,72,6,6,0,0,1,1.198268
1,full,2,73,training,73,5,5,0,0,1,0.644256
1,full,2,74,training,74,0,6,1,1,1,1.027829
1,full,2,75,training,75,0,0,0,0,1,0.793434
1,full,2,76,training,76,5,1,1,1,1,0.612911
1,full,2,77,training,77,6,0,1,1,1,0.218109
1,full,2,78,training,78,6,6,0,0,1,1.590068
1,full,2,79,training,79,1,1,0,0,1,3.996379
1,full,2,80,training,80,1,5,1,1,1,2.330750
1,full,2,81,training,81,5,1,1,1,1,2.929110
1,full,2,82,training,82,0,0,0,0,1,0.314680
1,full,2,83,training,83,6,6,0,0,1,0.447010
1,full,2,84,training,84,0,6,1,1,1,1.001429
1,full,2,85,training,85,6,0,1,1,1,1.097702
1,full,2,86,training,86,1,5,1,1,1,1.604531
1,full,2,87,training,87,1,1,0,0,1,1.260181
1,full,2,88,training,88,5,5,0,0,1,0.770480
1,full,2,89,training,89,0,6,1,1,1,0.260806
1,full,2,90,training,90,6,0,1,1,1,0.416759
1,full,2,91,training,91,1,5,1,1,1,0.424015
1,full,2,92,training,92,6,6,0,0,1,0.032346
1,full,2,93,training,93,5,1,1,1,1,0.383514
1,full,2,94,training,94,5,5,0,0,1,0.465026
1,full,2,95,training,95,0,0,0,0,1,2.883044
1,full,2,96,training,96,1,1,0,0,1,0.000107
1,full,2,97,generalization,1,1,6,1,NaN,NaN,4.844821
1,full,2,98,generalization,2,1,3,0,NaN,NaN,10.490946
1,full,2,99,generalization,3,1,5,1,NaN,NaN,2.377819
1,full,2,100,generalization,4,5,2,1,NaN,NaN,1.509383
1,full,2,101,generalization,5,2,3,1,NaN,NaN,1.560192
1,full,2,102,generalization,6,6,2,1,NaN,NaN,0.366997
1,full,2,103,generalization,7,0,5,1,NaN,NaN,0.590554
1,full,2,104,generalization,8,6,5,0,NaN,NaN,0.496117
1,full,2,105,generalization,9,3,1,1,NaN,NaN,2.464053
1,full,2,106,generalization,10,2,2,0,NaN,NaN,4.212744
1,full,2,107,generalization,11,4,0,1,NaN,NaN,4.775885
1,full,2,108,generalization,12,3,6,0,NaN,NaN,7.965738
1,full,2,109,generalization,13,0,0,0,NaN,NaN,12.912343
1,full,2,110,generalization,14,5,0,1,NaN,NaN,8.020304
1,full,2,111,generalization,15,0,4,1,NaN,NaN,17.579650
1,full,2,112,generalization,16,3,0,1,NaN,NaN,2.023874
1,full,2,113,generalization,17,6,3,1,NaN,NaN,1.933313
1,full,2,114,generalization,18,2,5,1,NaN,NaN,1.120926
1,full,2,115,generalization,19,5,1,1,NaN,NaN,0.694087
1,full,2,116,generalization,20,6,6,0,NaN,NaN,0.002080
1,full,2,117,generalization,21,4,1,1,NaN,NaN,1.186868
1,full,2,118,generalization,22,6,1,1,NaN,NaN,0.308021
1,full,2,119,generalization,23,1,2,0,NaN,NaN,0.780386
1,full,2,120,generalization,24,4,2,1,NaN,NaN,0.139928
1,full,2,121,generalization,25,3,2,0,NaN,NaN,0.023106
1,full,2,122,generalization,26,2,4,1,NaN,NaN,3.120676
1,full,2,123,generalization,27,1,1,0,NaN,NaN,1.363449
1,full,2,124,generalization,28,3,4,0,NaN,NaN,3.112607
1,full,2,125,generalization,29,1,4,1,NaN,NaN,0.770927
1,full,2,126,generalization,30,5,6,0,NaN,NaN,4.362846
1,full,2,127,generalization,31,4,4,0,NaN,NaN,1.292089
1,full,2,128,generalization,32,2,6,1,NaN,NaN,1.479679
1,full,2,129,generalization,33,6,4,0,NaN,NaN,1.137976
1,full,2,130,generalization,34,5,3,1,NaN,NaN,1.961942
1,full,2,131,generalization,35,5,5,0,NaN,NaN,0.246365
1,full,2,132,generalization,36,2,0,1,NaN,NaN,1.039860
1,full,2,133,generalization,37,4,3,0,NaN,NaN,4.419836
1,full,2,134,generalization,38,3,5,0,NaN,NaN,3.671357
1,full,2,135,generalization,39,2,1,0,NaN,NaN,1.718486
1,full,2,136,generalization,40,6,0,1,NaN,NaN,1.298560
1,full,2,137,generalization,41,0,2,0,NaN,NaN,6.932361
1,full,2,138,generalization,42,0,3,0,NaN,NaN,1.830801
1,full,2,139,generalization,43,4,6,1,NaN,NaN,0.383189
1,full,2,140,generalization,44,5,4,0,NaN,NaN,1.370320
1,full,2,141,generalization,45,4,5,0,NaN,NaN,0.591483
1,full,2,142,generalization,46,0,6,1,NaN,NaN,0.013464
1,full,2,143,generalization,47,0,1,0,NaN,NaN,3.512995
1,full,2,144,generalization,48,3,3,0,NaN,NaN,6.154975
1,full,2,145,generalization,49,1,0,0,NaN,NaN,1.512894
2,full,5,1,training,1,0,0,0,0,1,2.860523
2,full,5,2,training,2,6,6,0,1,0,0.336021
2,full,5,3,training,3,5,1,1,0,0,0.000103
2,full,5,4,training,4,1,5,1,0,0,0.000105
2,full,5,5,training,5,5,5,0,1,0,0.455045
2,full,5,6,training,6,0,6,1,1,1,0.000154
2,full,5,7,training,7,6,0,1,1,1,0.891377
2,full,5,8,training,8,1,1,0,0,1,0.106262
2,full,5,9,training,9,0,6,1,0,0,0.266152
2,full,5,10,training,10,6,0,1,1,1,0.154108
2,full,5,11,training,11,1,5,1,1,1,0.119639
2,full,5,12,training,12,0,0,0,0,1,0.290450
2,full,5,13,training,13,6,6,0,0,1,0.000108
2,full,5,14,training,14,5,1,1,1,1,0.000159
2,full,5,15,training,15,1,1,0,1,0,0.833568
2,full,5,16,training,16,5,5,0,0,1,0.020770
2,full,5,17,training,17,1,1,0,0,1,0.384718
2,full,5,18,training,18,1,5,1,1,1,0.854288
2,full,5,19,training,19,5,5,0,1,0,0.016271
2,full,5,20,training,20,6,0,1,0,0,0.288178
2,full,5,21,training,21,0,0,0,0,1,0.000101
2,full,5,22,training,22,6,6,0,1,0,0.012562
2,full,5,23,training,23,0,6,1,1,1,0.537348
2,full,5,24,training,24,5,1,1,0,0,0.097257
2,full,5,25,training,25,6,6,0,0,1,0.767727
2,full,5,26,training,26,0,0,0,1,0,0.000154
2,full,5,27,training,27,1,5,1,1,1,0.000145
2,full,5,28,training,28,5,1,1,0,0,0.000094
2,full,5,29,training,29,6,0,1,0,0,0.002418
2,full,5,30,training,30,0,6,1,1,1,0.069948
2,full,5,31,training,31,1,1,0,1,0,0.107562
2,full,5,32,training,32,5,5,0,0,1,0.000098
2,full,5,33,training,33,6,6,0,0,1,0.377424
2,full,5,34,training,34,0,6,1,1,1,0.029828
2,full,5,35,training,35,1,5,1,1,1,0.000139
2,full,5,36,training,36,6,0,1,0,0,0.001740
2,full,5,37,training,37,5,1,1,0,0,0.429748
2,full,5,38,training,38,5,5,0,1,0,0.286467
2,full,5,39,training,39,1,1,0,1,0,0.000142
2,full,5,40,training,40,0,0,0,0,1,0.371569
2,full,5,41,training,41,6,6,0,0,1,0.000094
2,full,5,42,training,42,5,1,1,1,1,0.087543
2,full,5,43,training,43,0,0,0,1,0,0.000147
2,full,5,44,training,44,5,5,0,0,1,0.121155
2,full,5,45,training,45,0,6,1,0,0,0.000093
2,full,5,46,training,46,1,1,0,1,0,0.088682
2,full,5,47,training,47,1,5,1,0,0,0.034603
2,full,5,48,training,48,6,0,1,1,1,0.000143
2,full,5,49,training,49,6,0,1,1,1,0.460551
2,full,5,50,training,50,1,1,0,0,1,0.000103
2,full,5,51,training,51,1,5,1,0,0,0.485249
2,full,5,52,training,52,0,6,1,1,1,0.000140
2,full,5,53,training,53,0,0,0,0,1,0.000103
2,full,5,54,training,54,5,5,0,0,1,0.000095
2,full,5,55,training,55,5,1,1,1,1,0.000141
2,full,5,56,training,56,6,6,0,1,0,0.429580
2,full,5,57,training,57,0,6,1,0,0,0.242729
2,full,5,58,training,58,1,5,1,0,0,0.241900
2,full,5,59,training,59,0,0,0,1,0,0.033414
2,full,5,60,training,60,1,1,0,1,0,0.000143
2,full,5,61,training,61,5,1,1,0,0,0.624954
2,full,5,62,training,62,6,0,1,0,0,0.000106
2,full,5,63,training,63,6,6,0,1,0,1.175691
2,full,5,64,training,64,5,5,0,1,0,0.000143
2,full,5,65,training,65,0,0,0,1,0,0.003276
2,full,5,66,training,66,1,5,1,0,0,0.177205
2,full,5,67,training,67,5,1,1,0,0,0.000104
2,full,5,68,training,68,5,5,0,1,0,0.000139
2,full,5,69,training,69,1,1,0,0,1,0.334337
2,full,5,70,training,70,0,6,1,0,0,0.080361
2,full,5,71,training,71,6,6,0,1,0,0.451883
2,full,5,72,training,72,6,0,1,0,0,0.349383
2,full,5,73,training,73,1,1,0,0,1,0.000102
2,full,5,74,training,74,6,0,1,1,1,0.520204
2,full,5,75,training,75,5,1,1,1,1,0.000143
2,full,5,76,training,76,0,6,1,0,0,0.042484
2,full,5,77,training,77,0,0,0,0,1,0.000097
2,full,5,78,training,78,1,5,1,1,1,0.070452
2,full,5,79,training,79,6,6,0,1,0,0.350455
2,full,5,80,training,80,5,5,0,0,1,0.084748
2,full,5,81,training,81,0,0,0,0,1,0.692772
2,full,5,82,training,82,1,5,1,1,1,0.169158
2,full,5,83,training,83,5,5,0,0,1,0.005914
2,full,5,84,training,84,5,1,1,0,0,0.000091
2,full,5,85,training,85,6,6,0,0,1,0.517809
2,full,5,86,training,86,1,1,0,1,0,0.000144
2,full,5,87,training,87,0,6,1,0,0,0.010565
2,full,5,88,training,88,6,0,1,1,1,0.548914
2,full,5,89,training,89,1,1,0,0,1,0.525285
2,full,5,90,training,90,5,5,0,0,1,0.060562
2,full,5,91,training,91,0,6,1,1,1,0.000150
2,full,5,92,training,92,1,5,1,1,1,0.327195
2,full,5,93,training,93,6,6,0,0,1,0.000095
2,full,5,94,training,94,5,1,1,0,0,0.000099
2,full,5,95,training,95,0,0,0,0,1,0.293104
2,full,5,96,training,96,6,0,1,1,1,0.387498
2,full,5,97,generalization,1,6,3,0,NaN,NaN,1.676266
2,full,5,98,generalization,2,3,5,0,NaN,NaN,0.358167
2,full,5,99,generalization,3,6,2,1,NaN,NaN,0.000143
2,full,5,100,generalization,4,1,5,1,NaN,NaN,1.874879
2,full,5,101,generalization,5,0,3,0,NaN,NaN,0.469664
2,full,5,102,generalization,6,3,1,1,NaN,NaN,0.027661
2,full,5,103,generalization,7,4,4,0,NaN,NaN,0.182082
2,full,5,104,generalization,8,0,6,1,NaN,NaN,0.788815
2,full,5,105,generalization,9,2,1,0,NaN,NaN,0.097574
2,full,5,106,generalization,10,0,2,0,NaN,NaN,0.292381
2,full,5,107,generalization,11,2,6,0,NaN,NaN,0.219923
2,full,5,108,generalization,12,4,1,1,NaN,NaN,0.210388
2,full,5,109,generalization,13,5,1,1,NaN,NaN,0.191864
2,full,5,110,generalization,14,1,4,0,NaN,NaN,0.048716
2,full,5,111,generalization,15,0,4,0,NaN,NaN,0.144586
2,full,5,112,generalization,16,3,2,0,NaN,NaN,0.031460
