subjectid,counterbalance,responsenumber,phase,trialnumber,F1,F2,response,correctresponse,accuracy,rt
1,5,1,training,1,10,5,0,0,1,3.892517
1,5,2,training,2,6,5,0,1,0,2.521896
1,5,3,training,3,5,6,1,1,1,0.815480
1,5,4,training,4,6,5,1,1,1,0.436033
1,5,5,training,5,11,6,0,0,1,0.797527
1,5,6,training,6,6,1,1,0,0,1.127021
1,5,7,training,7,5,6,1,1,1,0.746292
1,5,8,training,8,5,0,0,0,1,0.554524
1,5,9,training,9,10,5,0,0,1,0.554124
1,5,10,training,10,5,0,0,0,1,1.297663
1,5,11,training,11,11,6,0,0,1,0.881600
1,5,12,training,12,6,5,1,1,1,0.645855
1,5,13,training,13,6,1,0,0,1,1.030037
1,5,14,training,14,5,6,1,1,1,1.636865
1,5,15,training,15,6,5,1,1,1,0.788148
1,5,16,training,16,5,6,1,1,1,0.375054
1,5,17,training,17,11,6,0,0,1,0.611463
1,5,18,training,18,5,6,1,1,1,0.393723
1,5,19,training,19,6,1,0,0,1,0.584907
1,5,20,training,20,6,5,1,1,1,0.487184
1,5,21,training,21,10,5,0,0,1,0.386835
1,5,22,training,22,5,6,1,1,1,2.040591
1,5,23,training,23,5,0,0,0,1,0.798526
1,5,24,training,24,6,5,1,1,1,0.658123
1,5,25,training,25,6,1,0,0,1,0.978400
1,5,26,training,26,10,5,0,0,1,1.974040
1,5,27,training,27,6,5,1,1,1,0.507240
1,5,28,training,28,6,5,1,1,1,1.089044
1,5,29,training,29,5,0,0,0,1,0.853888
1,5,30,training,30,5,6,1,1,1,0.874202
1,5,31,training,31,5,6,1,1,1,1.881708
1,5,32,training,32,11,6,0,0,1,0.323767
1,5,33,training,33,5,6,1,1,1,1.913191
1,5,34,training,34,6,1,0,0,1,1.704383
1,5,35,training,35,5,6,1,1,1,5.370974
1,5,36,training,36,10,5,0,0,1,0.467898
1,5,37,training,37,11,6,0,0,1,0.444380
1,5,38,training,38,6,5,1,1,1,1.540173
