subjectid,counterbalance,responsenumber,phase,trialnumber,F1,F2,response,correctresponse,accuracy,rt
1,1,1,training,1,1,5,0,1,0,1.612279
1,1,2,training,2,6,6,1,0,0,0.821048
1,1,3,training,3,1,5,1,1,1,1.047813
1,1,4,training,4,0,6,1,1,1,0.980820
1,1,5,training,5,0,6,1,1,1,0.354112
1,1,6,training,6,1,1,1,0,0,0.954624
1,1,7,training,7,0,0,0,0,1,0.681380
1,1,8,training,8,5,5,0,0,1,1.020859
1,1,9,training,9,1,5,1,1,1,0.822168
1,1,10,training,10,0,6,1,1,1,0.676923
1,1,11,training,11,5,5,0,0,1,0.452716
1,1,12,training,12,1,5,1,1,1,0.875073
1,1,13,training,13,1,1,0,0,1,0.529759
1,1,14,training,14,0,6,1,1,1,1.243987
1,1,15,training,15,0,0,1,0,0,0.957481
1,1,16,training,16,6,6,0,0,1,4.084855
1,1,17,training,17,5,5,0,0,1,1.065469
1,1,18,training,18,0,6,1,1,1,0.608515
1,1,19,training,19,0,6,1,1,1,0.336581
1,1,20,training,20,6,6,0,0,1,0.780002
1,1,21,training,21,1,1,0,0,1,2.019699
1,1,22,training,22,1,5,1,1,1,1.037138
1,1,23,training,23,0,0,0,0,1,0.332765
1,1,24,training,24,1,5,1,1,1,0.978552
1,1,25,training,25,1,5,1,1,1,3.955626
1,1,26,training,26,1,1,0,0,1,1.207226
1,1,27,training,27,0,6,1,1,1,0.424630
1,1,28,training,28,0,6,1,1,1,0.602537
1,1,29,training,29,5,5,0,0,1,0.570118
1,1,30,training,30,0,0,0,0,1,0.585947
1,1,31,training,31,1,5,1,1,1,1.909014
1,1,32,training,32,6,6,0,0,1,1.155794
1,1,33,training,33,5,5,0,0,1,1.762321
1,1,34,training,34,1,1,0,0,1,2.573490
1,1,35,training,35,1,5,1,1,1,15.470898
1,1,36,training,36,0,0,0,0,1,0.871756
1,1,37,training,37,6,6,0,0,1,0.471108
1,1,38,training,38,1,5,1,1,1,0.888852
1,1,39,training,39,0,6,1,1,1,0.331659
1,1,40,training,40,0,6,1,1,1,0.290705
1,1,41,training,41,6,6,0,0,1,1.029000
1,1,42,training,42,5,5,0,0,1,3.515255
1,1,43,training,43,1,5,1,1,1,1.987036
1,1,44,training,44,0,6,1,1,1,4.304963
1,1,45,training,45,1,1,0,0,1,0.691591
1,1,46,training,46,0,0,0,0,1,0.235095
1,1,47,training,47,1,5,1,1,1,0.449258
1,1,48,training,48,0,6,1,1,1,0.268417
1,1,49,training,49,0,0,0,0,1,0.572449
1,1,50,training,50,6,6,0,0,1,1.324569
1,1,51,training,51,1,1,0,0,1,1.295942
1,1,52,training,52,0,6,1,1,1,1.447534
1,1,53,training,53,5,5,0,0,1,0.917906
1,1,54,training,54,1,5,1,1,1,1.725480
1,1,55,training,55,1,5,1,1,1,14.421874
1,1,56,training,56,0,6,1,1,1,5.741954
1,1,57,training,57,6,6,0,0,1,0.376357
